,identificacion,name,nombre,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
83,I-51,Zinc sulfate,Sulfato de Zinc,(Desconocido),7446-20-0,inorganicos,False,True,100,gr
84,I-51,Zinc sulfate heptahydrate,Sulfato de Zinc heptahidratado,Mallinckrodt,7446-20-0,inorganicos,False,True,100,gr
85,I-52,Sodium bromide,Bromuro de Sodio,Mallinckrodt,7647-15-6,inorganicos,False,True,250,gr
86,I-53,Ammonium persulfate,Persulfato de Amonio,Anedra,7727-54-0,inorganicos,False,True,250,gr
87,I-54,Stannous chloride dihydrate,cloruro de estao.2 H2O,Merck,10025-69-1,inorganicos,False,True,100,gr
88,I-54,Stannous chloride dihydrate,cloruro de estao.2 H2O,Mallinckrodt,10025-69-1,inorganicos,False,True,250,gr
89,I-55,Phosphorus pentoxide,oxido de fosforo,Flucka,1314-56-3,inorganicos,False,True,100,gr
90,I-55,Phosphorus pentoxide,oxido de fosforo,Riedel-DeHaen,1314-56-3,inorganicos,False,True,500,gr
91,I-56,Bismuth(III) nitrate pentahydrate,nitrato de bismuto,Carlo Erba,10035-06-0,inorganicos,False,True,100,gr
92,I-57,Mercury(I) chloride,Cloruro de mercurio (I),Merck,10112-91-1,inorganicos,False,True,25,gr
93,I-58,Lead (II) sulfate,Sulfato de plomo (II),Aldrich,,inorganicos,False,True,10,gr
94,I-59,Gallium (III) oxide,xido de galio (III),Aldrich,,inorganicos,False,True,1,gr
95,I-60,Germanium dioxide,Dixido de Germanio,Aldrich,,inorganicos,False,True,10,gr
96,I-61 ,sodium metasilicate,Metasilicato de sodio,Desconocido,,inorganicos,False,True,5,gr
97,I-62,arsenic trioxide ,trixido de arsnico,Mallinckrodt,,inorganicos,False,True,30,gr
98,I-62,arsenic trioxide ,trixido de arsnico,Desconocido,,inorganicos,False,True,5,gr
99,I-63,silver paint,pintura de plata,,,inorganicos,False,True,,
100,I-64,cobalt (II) sulfate heptahydrate,sulfato de cobalto (II) heptahidratado,Mallinckrodt,,inorganicos,False,True,2,gr
101,I-65,silver sulfate,sulfato de plata,(Aanalar),,inorganicos,False,True,50,gr
102,I-65,silver sulfate,sulfato de plata,Merck,,inorganicos,False,True,2,gr
103,I-66,sodium thiocyanate,tiocianato de sodio,Mallinckrodt,,inorganicos,False,True,100,gr
104,I-67,Nickel fluoride,Fluoruro de nickel,BDH,10028-18-9,inorganicos,False,True,100,g
105,A-1,Nitric acid,cido ntrico,Merck,7697-37-2,acidos,False,True,1,L
106,A-1,Nitric acid,cido ntrico,Merck,7697-37-2,acidos,False,True,0.7,L
107,A-1,Nitric acid,cido ntrico,Mallinckrodt,7697-37-2,acidos,False,True,1.25,L
108,A-2,Hydrochloric acid,cido Clorhdrico,Merck,7647-01-0,acidos,True,True,1.5,L
109,A-2,Hydrochloric acid,cido Clorhdrico,Carlo Erba,7647-01-0,acidos,True,True,5,L
110,A-2,Hydrochloric acid,cido Clorhdrico,JT Baker,7647-01-0,acidos,True,True,1,L
111,A-2,Hydrochloric acid,cido Clorhdrico,Anedra,7647-01-0,acidos,True,True,1,L
112,A-3,Sulfuric acid,cido sulfrico,Merck,7664-93-9,acidos,True,True,0.5,L
113,A-3,Sulfuric acid,cido sulfrico,Merck,7664-93-9,acidos,True,True,1.5,L
114,A-3,Sulfuric acid,cido sulfrico,Merck,7664-93-9,acidos,True,True,2.4,L
115,A-3,Sulfuric acid,cido sulfrico,Carlo Erba,7664-93-9,acidos,True,True,0.7,L
116,A-3,Sulfuric acid,cido sulfrico fumante,Carlo Erba,7664-93-9,acidos,True,True,0.95,L
117,A-3,Sulfuric acid,cido sulfrico,JT Baker,7664-93-9,acidos,True,True,0.6,L
118,A-3,Sulfuric acid,cido sulfrico,Merck,7664-93-9,acidos,True,True,0.6,L
119,A-3,Sulfuric acid,cido sulfrico,Carlo Erba,7664-93-9,acidos,True,True,2.5,L
120,A-4,Perchloric acid,cido perclrico,Merck,7601-90-3,acidos,False,True,1,L
121,A-4,Perchloric acid,cido perclrico,Merck,7601-90-3,acidos,False,True,0.8,L
122,A-4,Perchloric acid,cido perclrico,Merck,7601-90-3,acidos,False,True,2,L
123,A-4,Perchloric acid,cido perclrico,Merck,7601-90-3,acidos,False,True,0.8,L
124,A-5,Tetrafluoroboric acid,cido fluorobrico 50%,Riedel-DeHaen,16872-11-0,acidos,False,True,0.9,L
125,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,Fluka,872-50-4,solventes,False,True,0.5,L
126,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,Aldrich,872-50-4,solventes,False,True,1,L
127,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,Anedra,872-50-4,solventes,False,True,1,L
128,S-2,"""Ethyl alcohol, Pure""",etanol abs,Anedra,64-17-5,solventes,True,True,0.5,L
129,S-3,Ammonium hydroxide solution,hidrxido de amonio,Cicarelli,1336-21-6,solventes,True,True,0.8,L
130,S-4,Extran MA 02 | 107553 - Merck Millipore,Extran MA 02 neutro,Merck,nn,solventes,False,True,0.4,L
131,E-1,Sodium hydroxide,Hidrxido de Sodio,Mallinckrodt,1310-73-2,electrolitos_buffers,True,True,0.7,L
132,E-1,Sodium hydroxide,Hidrxido de Sodio,Merck,1310-73-2,electrolitos_buffers,True,True,0.7,L
133,E-1,Sodium hydroxide,Hidrxido de Sodio,Carlo Erba,1310-73-2,electrolitos_buffers,True,True,0.6,L
134,E-1,Sodium hydroxide,Hidrxido de Sodio,Merck,1310-73-2,electrolitos_buffers,True,True,0.7,L
135,E-2,Sodium carbonate,Carbonato de Sodio,Merck,497-19-8,electrolitos_buffers,True,True,0.25,L
136,E-2,Sodium carbonate,Carbonato de Sodio,Merck,497-19-8,electrolitos_buffers,True,True,0.25,L
137,E-2,Sodium carbonate,Carbonato de Sodio,Mallinckrodt,497-19-8,electrolitos_buffers,False,True,0.1,L
138,E-3,Potassium bisulfate,Sulfato cido de Potasio,Carlo Erba,7646-93-7,electrolitos_buffers,False,True,1,L
139,E-4,Potassium sulfate,Sulfato de Potasio,Anal Chim,7778-80-5,electrolitos_buffers,False,True,0.15,L
140,E-4,Potassium sulfate,Sulfato de Potasio,Merck,7778-80-5,electrolitos_buffers,False,True,0.05,L
141,E-4,Potassium sulfate,Sulfato de Potasio,Merck,7778-80-5,electrolitos_buffers,False,True,0.05,L
142,E-4,Potassium sulfate,Sulfato de Potasio,Merck,7778-80-5,electrolitos_buffers,False,True,0.1,L
143,E-4,Potassium sulfate,Sulfato de Potasio,Baker,7778-80-5,electrolitos_buffers,False,True,0.4,L
144,E-4,Potassium sulfate,Sulfato de Potasio,Merck,7778-80-5,electrolitos_buffers,False,True,0.05,L
145,E-5,Sodium sulfate,Sulfato de Sodio,Merck,7757-82-6,electrolitos_buffers,True,True,0.05,L
146,E-5,Sodium sulfate,Sulfato de Sodio,Anedra,7757-82-6,electrolitos_buffers,True,True,0.1,L
147,E-5,Sodium sulfate,Sulfato de Sodio,Merck,7757-82-6,electrolitos_buffers,True,True,0.05,L
148,E-6,Potassium chloride,Cloruro de Potasio,Biopack,7447-40-7,electrolitos_buffers,False,True,1,L
149,E-7,Potassium nitrate,Nitrato de Potasio,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,1,L
150,E-7,Potassium nitrate,Nitrato de Potasio,Merck,7757-79-1,electrolitos_buffers,False,True,0.5,L
151,E-7,Potassium nitrate,Nitrato de Potasio,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,1,L
152,E-7,Potassium nitrate,Nitrato de Potasio,Carlo Erba,7757-79-1,electrolitos_buffers,False,True,1,L
153,E-8,Sodium chloride,Cloruro de Sodio,Merck,7647-14-5,electrolitos_buffers,False,True,1,L
154,E-9,Sodium phosphate dibasic ,Fosfato de Sodio dibsico,J.T. Baker,7558-79-4,electrolitos_buffers,False,True,0.5,L
155,E-10,Sodium phosphate monobasic,Fosfato de Potasio monobsico,Anedra,7558-80-7,electrolitos_buffers,False,True,0.5,L
156,E-11,Edetate disodium (EDTA disodium salt),Etilendiamina tetraacetato de Sodio (EDTA),Mallinckrodt,6381-92-6,electrolitos_buffers,False,True,0.5,L
157,E-12,Ammonium acetate,Acetato de Amonio,Cicarelli,631-61-8,electrolitos_buffers,False,True,1,L
158,E-13,Boric acid,cido Brico,Merck,10043-35-3,electrolitos_buffers,False,True,1,L
159,E-14,Silicic acid,cido Silcico,Mallinckrodt,1343-98-2,electrolitos_buffers,False,True,0.5,L
160,E-15,Oxalic acid,cido Oxlico,Carlo Erba,144-62-7,electrolitos_buffers,False,True,0.5,L
161,E-16,Potassium hydrogen phthalate,Biftalato de Potasio,Merck,877-24-7,electrolitos_buffers,False,True,0.25,L
162,E-16,Potassium hydrogen phthalate,Biftalato de Potasio,Fluka,877-24-7,electrolitos_buffers,False,True,0.1,L
163,E-17,Lithium perchlorate,Perclorato de Litio,Merck,9/3/7791,electrolitos_buffers,False,True,0.25,L
164,E-17,Lithium perchlorate,Perclorato de Litio,Fluka,9/3/7791,electrolitos_buffers,False,True,0.5,L
165,E-18,Sodium perchlorate monohydrate,Perclorato de Sodio monohidratado,Fluka,3/7/7791,electrolitos_buffers,False,True,1,L
166,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,Merck,14459-95-1,electrolitos_buffers,False,True,0.5,L
167,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,0.5,L
168,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,0.5,L
169,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,Mallinckrodt,14459-95-1,electrolitos_buffers,False,True,1,L
170,E-19,Potassium hexacyanoferrate(II),Ferrocianuro de Potasio,Carlo Erba,14459-95-1,electrolitos_buffers,False,True,0.1,L
171,E-20,Potassium ferricyanide(III),Ferricianuro de Potasio,Fluka,13746-66-2,electrolitos_buffers,False,True,0.1,L
172,E-20,Potassium ferricyanide(III),Ferricianuro de Potasio,Merck,13746-66-2,electrolitos_buffers,False,True,0.1,L
