,identificacion,name,nombre,cantidad,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
88,I-54,Stannous chloride dihydrate,cloruro de estao.2 H2O,250 gr,Mallinckrodt,10025-69-1,inorganicos,False,True,250.0,gr
89,I-55,Phosphorus pentoxide,oxido de fosforo,100 gr,Flucka,1314-56-3,inorganicos,False,True,100.0,gr
90,I-55,Phosphorus pentoxide,oxido de fosforo,500 gr,Riedel-DeHaen,1314-56-3,inorganicos,False,True,500.0,gr
91,I-56,Bismuth(III) nitrate pentahydrate,nitrato de bismuto,100 gr,Carlo Erba,10035-06-0,inorganicos,False,True,100.0,gr
92,I-57,Mercury(I) chloride,Cloruro de mercurio (I),25 gr,Merck,10112-91-1,inorganicos,False,True,25.0,gr
93,I-58,Lead (II) sulfate,Sulfato de plomo (II),10 gr,Aldrich,,inorganicos,False,True,10.0,gr
94,I-59,Gallium (III) oxide,xido de galio (III),1 gr,Aldrich,,inorganicos,False,True,1.0,gr
95,I-60,Germanium dioxide,Dixido de Germanio,10 gr,Aldrich,,inorganicos,False,True,10.0,gr
96,I-61 ,sodium metasilicate,Metasilicato de sodio,5 gr,Desconocido,,inorganicos,False,True,5.0,gr
97,I-62,arsenic trioxide ,trixido de arsnico,30 gr,Mallinckrodt,,inorganicos,False,True,30.0,gr
98,I-62,arsenic trioxide ,trixido de arsnico,5 gr,Desconocido,,inorganicos,False,True,5.0,gr
99,I-63,silver paint,pintura de plata,,,,inorganicos,False,True,,
100,I-64,cobalt (II) sulfate heptahydrate,sulfato de cobalto (II) heptahidratado,2 gr,Mallinckrodt,,inorganicos,False,True,2.0,gr
101,I-65,silver sulfate,sulfato de plata,50 gr,(Aanalar),,inorganicos,False,True,50.0,gr
102,I-65,silver sulfate,sulfato de plata,2 gr,Merck,,inorganicos,False,True,2.0,gr
103,I-66,sodium thiocyanate,tiocianato de sodio,100 gr,Mallinckrodt,,inorganicos,False,True,100.0,gr
104,I-67,Nickel fluoride,Fluoruro de nickel,100 g,BDH,10028-18-9,inorganicos,False,True,100.0,g
105,A-1,Nitric acid,cido ntrico,1 L,Merck,7697-37-2,cidos,False,True,1.0,L
106,A-1,Nitric acid,cido ntrico,0.7 L,Merck,7697-37-2,cidos,False,True,0.7,L
107,A-1,Nitric acid,cido ntrico,1.25 L,Mallinckrodt,7697-37-2,cidos,False,True,1.25,L
108,A-2,Hydrochloric acid,cido Clorhdrico,1.5,Merck,7647-01-0,cidos,True,True,,
109,A-2,Hydrochloric acid,cido Clorhdrico,5,Carlo Erba,7647-01-0,cidos,True,True,,
110,A-2,Hydrochloric acid,cido Clorhdrico,1,JT Baker,7647-01-0,cidos,True,True,,
111,A-2,Hydrochloric acid,cido Clorhdrico,1,Anedra,7647-01-0,cidos,True,True,,
112,A-3,Sulfuric acid,cido sulfrico,0.5,Merck,7664-93-9,cidos,True,True,,
113,A-3,Sulfuric acid,cido sulfrico,1.5,Merck,7664-93-9,cidos,True,True,,
114,A-3,Sulfuric acid,cido sulfrico,2.4,Merck,7664-93-9,cidos,True,True,,
115,A-3,Sulfuric acid,cido sulfrico,0.7,Carlo Erba,7664-93-9,cidos,True,True,,
116,A-3,Sulfuric acid,cido sulfrico fumante,0.95,Carlo Erba,7664-93-9,cidos,True,True,,
117,A-3,Sulfuric acid,cido sulfrico,0.6,JT Baker,7664-93-9,cidos,True,True,,
